"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Johnson_2018a","Johnson_2018a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Nematoda",NA,"precip_inc","undisturbed vs disturbed",1.26,1.48,0.13,0.07,"SE",16,16,"aboveground",1.9837167,243,"Australia","Low validity","microfauna","Nematoda","Nematoda",0.0634,0.28,0.52,-33.6111111111111,150.740694444444,NA,"no","Trap",2018,0.189189189189189,0.412698412698413,41.6351648351648,19.0863905325444,"pass",-0.156726384608333,0.0129116131520609,-0.160930366812637,0.0128820330718658,0.00420398220430396,0.11349904436543,32,0.125,0.353553390593274,0.5212
"2","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","precip_inc","undisturbed vs disturbed",1.83,1.85,NA,NA,NA,4,4,"belowground",37,2555,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2002,NA,NA,NA,NA,NA,-3.01982397993707,17.9580208268438,-0.0108696722369039,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"3","Lindberg_2002a","Lindberg_2002a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",2.35,1.99,NA,NA,NA,4,4,"belowground",37,2555,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,56.55,13.2166666666667,NA,"yes","Other",2002,NA,NA,NA,NA,NA,-2.8426736182805,17.9580208268438,0.166280689419667,NA,3.00895430770016,NA,8,0.5,0.707106781186548,1.5437
"4","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Autumn","precip_inc","undisturbed vs disturbed",2.04,2.2,0.06,0.04,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Collembola","Collembola",1.0651,0.08,0.12,64.1166666666667,19.45,"detritivore-fungivore","yes","Other",2004,0.0363636363636364,0.0588235294117647,103.529411764706,64,"pass",-0.0752403158127865,0.00119584481474787,-0.0755075525081452,0.00119563041551088,0.000267236695358622,0.0345778891129994,8,0.5,0.707106781186548,1.0774
"5","Lindberg_2004a","Lindberg_2004a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",2.2,2.12,0.12,0.39,"SE",4,4,"belowground",NA,4750,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.78,0.24,64.1166666666667,19.45,NA,"yes","Other",2004,0.367924528301887,0.109090909090909,10.2322775263952,34.5098039215686,"pass",0.0216078176703635,0.0371058563873907,0.0370412716803491,0.0368173212431117,0.0154334540099856,0.191878402232017,8,0.5,0.707106781186548,1.0774
"6","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Winter","precip_inc","undisturbed vs disturbed",1.83,1.42,NA,NA,NA,7,7,"belowground",34.935305,120,"Greece","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,NA,NA,NA,NA,-1.46574336630279,7.60525364867349,0.25365909524016,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"7","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Winter","precip_inc","undisturbed vs disturbed",1.58,2.02,NA,NA,NA,7,7,"belowground",34.935305,120,"Greece","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,NA,NA,NA,NA,-1.96507512591719,7.60525364867349,-0.245672664374238,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"8","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Collembola","Winter","precip_inc","undisturbed vs disturbed",1.45,1.42,NA,NA,NA,7,7,"belowground",38.4103512,120,"Greece","Medium validity","mesofauna","Collembola","Collembola",1.0651,NA,NA,40.4333333333333,23.5666666666667,"detritivore-fungivore","yes","Other",2005,NA,NA,NA,NA,NA,-1.69849577672364,7.60525364867349,0.0209066848193136,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"9","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Winter","precip_inc","undisturbed vs disturbed",2.22,2.02,NA,NA,NA,7,7,"belowground",38.4103512,120,"Greece","Medium validity","mesofauna","Oribatida","Acari",1.1158,NA,NA,40.4333333333333,23.5666666666667,NA,"yes","Other",2005,NA,NA,NA,NA,NA,-1.62499277707188,7.60525364867349,0.0944096844710748,NA,1.71940246154295,NA,14,0.285714285714286,0.534522483824849,0.4235
"10","Guidi_2022","Guidi_2022_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Acari","Summer","precip_inc","undisturbed vs disturbed",2,2,0.1,0.2,"SE",4,4,"aboveground",-100,4366,"Switzerland","Medium validity","mesofauna","Acari","Acari",1.1158,0.4,0.2,46.3,7.61666666666667,NA,"yes","Other",2022,0.2,0.1,18.8235294117647,37.6470588235294,"pass",-0.00375,0.0125265625,0,0.0125,0.00375,0.111803398874989,8,0.5,0.707106781186548,0.8911
